line_no,labels,strata,strata_based_on_meter_only
07.032.17.b,M,S,False
07.032.17.c,M,S,False
07.032.17.d,M,S,False
07.032.18.a,M,S,False
07.032.18.b,M,S,False
07.032.18.c,M,S,False
07.032.18.d,M,S,False
07.032.19.a,M,S,False
07.032.19.b,M,S,False
07.032.19.c,M,S,False
07.032.19.d,M,S,False
07.032.20.a,M,S,False
07.032.20.b,M,S,False
07.032.20.c,M,S,False
07.032.20.d,M,S,False
07.032.21.a,M,S,False
07.032.21.b,M,S,False
07.032.21.c,M,S,False
07.032.21.d,M,S,False
07.032.22.a,M,S,False
07.032.22.b,M,S,False
07.032.22.c,M,S,False
07.032.22.d,M,S,False
07.032.23.a,M,S,False
07.032.23.b,MR,S,False
07.032.23.c,M,S,False
07.032.23.d,M,S,False
07.032.24.a,M,S,False
07.032.24.b,M,S,False
07.032.24.c,M,S,False
07.032.24.d,M,S,False
07.032.25.a,M,S,False
07.032.25.b,M,S,False
07.032.25.c,MR,S,False
07.032.25.d,M,S,False
07.032.26.a,M,S,False
07.032.26.b,M,S,False
07.032.26.c,M,S,False
07.032.26.d,M,S,False
07.032.27.a,M,S,False
07.032.27.b,M,S,False
07.032.27.c,M,S,False
07.032.27.d,M,S,False
07.033.01.a,P,P,False
07.033.01.b,P,P,False
07.033.01.c,P,P,False
07.033.01.d,P,P,False
07.033.02.a,P,P,False
07.033.02.b,P,P,False
07.033.02.c,P,P,False
07.033.02.d,P,P,False
07.033.03.a,P,P,False
07.033.03.b,P,P,False
07.033.03.c,P,P,False
07.033.03.d,P,P,False
07.033.04.a,P,P,False
07.033.04.b,P,P,False
07.033.04.c,P,P,False
07.033.04.d,P,P,False
07.033.05.a,P,P,False
07.033.05.b,P,P,False
07.033.05.c,P,P,False
07.033.05.d,P,P,False
07.033.06.a,P,P,False
07.033.06.b,P,P,False
07.033.06.c,P,P,False
07.033.06.d,P,P,False
07.033.07.a,P,P,False
07.033.07.b,P,P,False
07.033.07.c,P,P,False
07.033.07.d,P,P,False
07.033.08.a,P,P,False
07.033.08.b,P,P,False
07.033.08.c,P,P,False
07.033.08.d,P,P,False
07.033.09.a,P,P,False
07.033.09.b,P,P,False
07.033.09.c,P,P,False
07.033.09.d,P,P,False
07.033.10.a,P,P,False
07.033.10.b,P,P,False
07.033.10.c,P,P,False
07.033.10.d,P,P,False
07.033.11.a,P,P,False
07.033.11.b,P,P,False
07.033.11.c,P,P,False
07.033.11.d,P,P,False
07.033.12.a,P,P,False
07.033.12.b,P,P,False
07.033.12.c,P,P,False
07.033.12.d,P,P,False
07.033.13.a,P,P,False
07.033.13.b,P,P,False
07.033.13.c,P,P,False
07.033.13.d,P,P,False
07.033.14.a,P,P,False
07.033.14.b,P,P,False
07.033.14.c,P,P,False
07.033.14.d,P,P,False
07.034.01.a,M5,S,False
07.034.01.b,M5,S,False
07.034.02.a,M5,S,False
07.034.02.b,M5,S,False
07.034.03.a,M5,S,False
07.034.03.b,M5,S,False
07.034.04.a,M5,S,False
07.034.04.b,M5,S,False
07.034.05.a,M5,S,False
07.034.05.b,M5,S,False
07.034.06.a,M5,S,False
07.034.06.b,M5,S,False
07.034.07.a,M5,S,False
07.034.07.b,M,S,False
07.034.08.a,M5,S,False
07.034.08.b,M5,S,False
07.034.09.a,M5,S,False
07.034.09.b,M5,S,False
07.034.10.a,M5,S,False
07.034.10.b,M5,S,False
07.034.11.a,M5,S,False
07.034.11.b,M5,S,False
07.034.12.a,M5,S,False
07.034.12.b,M5,S,False
07.034.13.a,M5,S,False
07.034.13.b,M5,S,False
07.034.14.a,M5,S,False
07.034.14.b,M5,S,False
07.034.15.a,M5,S,False
07.034.15.b,M5,S,False
07.034.16.a,M5,S,False
07.034.16.b,M5,S,False
07.034.17.a,M5R,S,False
07.034.17.b,M5,S,False
07.034.18.a,M5,S,False
07.034.18.b,M5,S,False
07.034.19.a,M5,S,False
07.034.19.b,M5,S,False
07.034.20.a,M5,S,False
07.034.20.b,M5,S,False
07.034.21.a,M5,S,False
07.034.21.b,M,S,False
07.034.22.a,M,S,False
07.034.22.b,MR,S,False
07.034.22.c,M,S,False
07.034.22.d,M,S,False
07.034.23.a,M,S,False
07.034.23.b,M,S,False
07.034.23.c,M,S,False
07.034.23.d,M,S,False
07.034.24.a,M,S,False
07.034.24.b,M,S,False
07.034.24.c,M,S,False
07.034.24.d,M,S,False
07.034.25.a,M,S,False
07.034.25.b,M,S,False
07.034.25.c,M,S,False
07.034.25.d,MR,S,False
07.035.01.a,D,P,True
07.035.01.b,D,P,True
07.035.01.c,D,P,True
07.035.01.d,D,P,True
07.035.02.a,D,P,True
07.035.02.b,D,P,True
07.035.02.c,D,P,True
07.035.02.d,D,P,True
07.035.03.a,D,P,True
07.035.03.b,D,P,True
07.035.03.c,D,P,True
07.035.03.d,D,P,True
07.035.04.a,D,P,True
07.035.04.b,D,P,True
07.035.04.c,D,P,True
07.035.04.d,D,P,True
07.035.05.a,D,P,True
07.035.05.b,D,P,True
07.035.05.c,D,P,True
07.035.05.d,D,P,True
07.035.06.a,D,P,True
07.035.06.b,D,P,True
07.035.06.c,D,P,True
07.035.06.d,D,P,True
07.035.07.a,D,P,True
07.035.07.b,D,P,True
